YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,OUTAGE.START,OUTAGE.RESTORATION,MONTH.NAME,duration_missing
2015,7,Tennessee,TN,SERC,Central,1.2,warm,2015-07-30,13:00:00,,,intentional attack,vandalism,,,0,0,10.31,10.27,7.31,9.7,4285049.0,3322562.0,1891937.0,9499547.0,45.1079298833934,34.9760046452741,19.9160759981502,2783058.0,476405.0,1245.0,3260708.0,85.35134087443585,14.610477233778676,0.038181891785464994,42457.0,49844.0,0.851797608538641,1.2,1692.0,282752.0,0.598404255319149,0.4,6600299,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,2015-07-30 13:00:00,,Jul,True
2016,7,Tennessee,TN,SERC,Central,-0.3,normal,2016-07-13,15:00:00,,,system operability disruption,public appeal,,,,,,,,,,,,,,,,2812287.0,480032.0,1193.0,3293512.0,85.38869753624702,14.575079732516535,0.03622273123644305,43720.0,50660.0,0.863008290564548,3.0,1813.0,290712.0,0.623641266958364,0.5,6649404,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,2016-07-13 15:00:00,,Jul,True
2016,4,Tennessee,TN,SERC,Central,1.1,warm,2016-04-27,13:36:00,,,intentional attack,vandalism,,,0,0,10.22,9.64,5.39,8.8,2517024.0,2577433.0,1681946.0,6776403.0,37.1439538055809,38.0354149539217,24.8206312404974,2812287.0,480032.0,1193.0,3293512.0,85.38869753624702,14.575079732516535,0.03622273123644305,43720.0,50660.0,0.863008290564548,3.0,1813.0,290712.0,0.623641266958364,0.5,6649404,66.39,12.02,1450.3,1076.2,55.6,7.05,1.72,97.8431093394077,2.15689066059225,2.15689066059225,2016-04-27 13:36:00,,Apr,True
2014,6,Wisconsin,WI,MRO,East North Central,0.0,normal,2014-06-27,13:21:00,,,fuel supply emergency, Coal,,,,,14.38,11.31,7.81,10.98,1706907.0,2012702.0,2037837.0,5757447.0,29.6469424729398,34.9582375660601,35.3948025921906,2631430.0,345907.0,5465.0,2982802.0,88.22006958557759,11.596713425832489,0.18321698858992316,46676.0,49091.0,0.95080564665621,1.9,4680.0,268742.0,1.74144718726511,1.9,5759432,70.15,14.35,2123.3,1671.5,32.5,3.47,0.9,82.6890191767436,17.312507634054,3.0490411628191,2014-06-27 13:21:00,,Jun,True
2007,9,Texas,TX,WECC,South,-0.9,cold,2007-09-06,20:00:00,,,fuel supply emergency,,,,,,12.44,9.88,7.76,10.3,13316662.0,10376502.0,9494213.0,33193019.0,40.118863547784,31.2610974012337,28.6030415009855,9166849.0,1413358.0,168586.0,10748834.0,85.28226410418097,13.148942480644877,1.5684119784527324,49068.0,49126.0,0.998819362455726,2.5,27695.0,1169399.0,2.36831055952673,10.9,23831983,84.7,9.35,2435.3,1539.9,15.2,3.35,0.58,97.2583359394779,2.74203636688558,2.09087253719341,2007-09-06 20:00:00,,Sep,True
2014,4,Texas,TX,TRE,South,-0.2,normal,2014-04-03,00:00:00,,,fuel supply emergency, Coal,,,,,12.06,8.21,5.86,8.55,8199586.0,10173132.0,9461319.0,27846934.0,29.4452021181219,36.5323234507612,33.9761605353035,10138874.0,1432478.0,101641.0,11672996.0,86.8575128441747,12.271725270873048,0.8707361846093326,52742.0,49091.0,1.07437208449614,2.0,28121.0,1421759.0,1.9779020213693,10.9,26979078,84.7,9.35,2435.3,1539.9,15.2,3.35,0.58,97.2583359394779,2.74203636688558,2.09087253719341,2014-04-03 00:00:00,,Apr,True
2014,6,Texas,TX,TRE,South,0.0,normal,2014-06-06,13:00:00,,,fuel supply emergency, Coal,,,,,12.17,8.26,6.34,9.2,12861137.0,12571521.0,9260108.0,34707247.0,37.0560563331341,36.221602364486,26.6806180276989,10138874.0,1432478.0,101641.0,11672996.0,86.8575128441747,12.271725270873048,0.8707361846093326,52742.0,49091.0,1.07437208449614,2.0,28121.0,1421759.0,1.9779020213693,10.9,26979078,84.7,9.35,2435.3,1539.9,15.2,3.35,0.58,97.2583359394779,2.74203636688558,2.09087253719341,2014-06-06 13:00:00,,Jun,True
2000,,Texas,TX,FRCC,South,,,,,,,equipment failure,transformer outage,,,46,43000,,,,,,,,,,,,8023266.0,1093414.0,61280.0,9299829.0,86.27326373420414,11.75735596858824,0.6589368471183717,45102.0,44745.0,1.00797854508884,1.7,30908.0,944631.0,3.27196545529418,10.3,20944499,84.7,9.35,2435.3,1539.9,15.2,3.35,0.58,97.2583359394779,2.74203636688558,2.09087253719341,,,,True
2015,12,Texas,TX,TRE,South,2.3,warm,2015-12-26,19:30:00,,,severe weather,,,,,70000,11.33,7.59,5.28,8.2,9873550.0,10401668.0,8456633.0,28745852.0,34.3477382406338,36.1849354821697,29.4186201195219,10318006.0,1425780.0,105936.0,11849725.0,87.07380129074726,12.032177961935824,0.8939954302736983,53707.0,49844.0,1.07750180563358,1.8,31256.0,1488049.0,2.10046846575617,11.0,27469114,84.7,9.35,2435.3,1539.9,15.2,3.35,0.58,97.2583359394779,2.74203636688558,2.09087253719341,2015-12-26 19:30:00,,Dec,True
2000,8,Indiana,IN,ECAR,Central,-0.5,cold,2000-08-28,23:00:00,,,equipment failure,line fault,,,15,124000,6.97,6.02,3.94,5.39,2873955.0,1992006.0,4165333.0,9080103.0,31.6511277460179,21.9381432126926,45.8731910860483,2545743.0,290737.0,19058.0,2865343.0,88.84601250181915,10.146673539607649,0.6651210692751269,41302.0,44745.0,0.923052855067605,2.3,6964.0,251606.0,2.76781952735626,2.3,6091866,72.44,13.27,1860.0,1646.9,53.7,7.05,1.46,98.3690280065898,1.62822624931356,0.991213618890719,2000-08-28 23:00:00,,Aug,True
2000,,Alabama,AL,SERC,Southeast,,,,,,,severe weather,thunderstorm,,,,160000,,,,,,,,,,,,1930037.0,313017.0,6252.0,2262753.0,85.29596469433474,13.833458623190422,0.2763005948948029,33712.0,44745.0,0.753424963683093,1.1,5704.0,150090.0,3.80038643480578,2.2,4452173,59.04,10.39,1278.5,988.7,40.4,4.36,0.99,96.6138878290729,3.38611217092713,2.01831362075544,,,,True
2000,5,Illinois,IL,SERC,Central,-0.7,cold,2000-05-18,18:00:00,,,severe weather,heavy wind,,,,101830,9.23,7.38,5.2,6.94,2700772.0,3589025.0,3310657.0,10513961.0,25.6874835278541,34.1358028624987,31.4881993570263,4748863.0,493670.0,5009.0,5282401.0,89.89970659175628,9.345560853861718,0.09482430432676353,49276.0,44745.0,1.10126271091742,2.8,15815.0,612709.0,2.58116006130153,5.8,12434161,88.49,8.52,2877.6,1759.5,28.6,7.11,1.12,95.864557792589,4.13544220741099,1.41589253030355,2000-05-18 18:00:00,,May,True
